Chunk (0, 0, 0) | Triangles: 440
idx | VertA | VertB | VertC | maxEdge
 153 | (2,57,2,00,2,00) | (2,00,1,73,3,00) | (2,00,2,00,2,57) | 1,18
 154 | (4,00,1,00,2,91) | (3,76,1,00,3,00) | (3,00,1,13,3,00) | 1,01
 155 | (4,24,1,00,3,00) | (4,00,1,00,2,91) | (4,00,1,52,2,00) | 1,15
 156 | (6,00,2,00,2,57) | (5,00,1,73,2,00) | (5,43,2,00,2,00) | 1,18
 157 | (6,00,2,00,2,57) | (6,27,2,00,3,00) | (6,00,1,73,3,00) | 0,51
 158 | (2,00,2,00,2,57) | (1,73,3,00,2,00) | (2,00,2,57,2,00) | 1,18
 159 | (2,57,2,00,2,00) | (2,00,2,00,2,57) | (2,00,2,57,2,00) | 0,80
 160 | (5,43,2,00,2,00) | (6,00,2,57,2,00) | (6,00,2,00,2,57) | 0,80
 161 | (6,00,2,57,2,00) | (6,27,2,00,3,00) | (6,00,2,00,2,57) | 1,18
 162 | (1,00,3,76,3,00) | (1,00,4,00,3,00) | (1,00,4,00,2,91) | 0,26
 163 | (1,00,3,76,3,00) | (1,00,4,00,2,91) | (1,52,4,00,2,00) | 1,15
 164 | (7,00,4,00,2,91) | (7,00,3,76,3,00) | (6,87,3,00,3,00) | 1,01
 165 | (7,00,4,00,2,91) | (7,00,4,00,3,00) | (7,00,3,76,3,00) | 0,26
 166 | (1,00,4,00,2,91) | (1,00,4,00,3,00) | (1,00,4,24,3,00) | 0,26
 167 | (1,00,4,00,2,91) | (1,00,4,24,3,00) | (1,13,5,00,3,00) | 1,01
 168 | (7,00,4,24,3,00) | (7,00,4,00,2,91) | (6,48,4,00,2,00) | 1,15
 169 | (7,00,4,00,2,91) | (7,00,4,24,3,00) | (7,00,4,00,3,00) | 0,26
 170 | (2,00,5,43,2,00) | (1,73,6,00,3,00) | (2,00,6,00,2,57) | 1,18
 171 | (2,57,6,00,2,00) | (2,00,5,43,2,00) | (2,00,6,00,2,57) | 0,80
 172 | (6,00,5,43,2,00) | (5,43,6,00,2,00) | (6,00,6,00,2,57) | 0,80
 173 | (6,00,6,00,2,57) | (6,27,5,00,2,00) | (6,00,5,43,2,00) | 1,18
 174 | (2,00,6,00,2,57) | (1,73,6,00,3,00) | (2,00,6,27,3,00) | 0,51
 175 | (2,00,6,00,2,57) | (3,00,6,27,2,00) | (2,57,6,00,2,00) | 1,18
 176 | (3,76,7,00,3,00) | (4,00,7,00,2,91) | (4,00,6,48,2,00) | 1,15
 177 | (4,00,7,00,2,91) | (4,24,7,00,3,00) | (5,00,6,87,3,00) | 1,01
 178 | (5,43,6,00,2,00) | (6,00,6,27,3,00) | (6,00,6,00,2,57) | 1,18
 179 | (6,00,6,00,2,57) | (6,00,6,27,3,00) | (6,27,6,00,3,00) | 0,51
 180 | (4,00,7,00,2,91) | (3,76,7,00,3,00) | (4,00,7,00,3,00) | 0,26
 181 | (4,00,7,00,2,91) | (4,00,7,00,3,00) | (4,24,7,00,3,00) | 0,26
 182 | (3,00,1,73,2,00) | (2,57,2,00,2,00) | (3,00,2,00,1,73) | 0,51
 183 | (3,00,1,73,2,00) | (4,00,2,00,1,52) | (4,00,1,52,2,00) | 1,14
 184 | (4,00,1,52,2,00) | (5,00,2,00,1,73) | (5,00,1,73,2,00) | 1,14
 185 | (5,00,2,00,1,73) | (5,43,2,00,2,00) | (5,00,1,73,2,00) | 0,51
 186 | (2,00,2,57,2,00) | (1,73,3,00,2,00) | (2,00,3,00,1,73) | 0,51
 187 | (2,00,2,57,2,00) | (3,00,2,00,1,73) | (2,57,2,00,2,00) | 1,18
 188 | (3,76,3,00,1,00) | (4,00,2,91,1,00) | (4,00,2,00,1,52) | 1,15
 189 | (4,00,2,91,1,00) | (4,24,3,00,1,00) | (5,00,3,00,1,13) | 1,01
 190 | (5,43,2,00,2,00) | (6,00,3,00,1,73) | (6,00,2,57,2,00) | 1,18
 191 | (6,00,3,00,1,73) | (6,27,3,00,2,00) | (6,00,2,57,2,00) | 0,51
 192 | (2,00,3,00,1,73) | (1,52,4,00,2,00) | (2,00,4,00,1,52) | 1,14
 193 | (2,91,4,00,1,00) | (3,00,3,76,1,00) | (3,00,3,00,1,13) | 1,01
 194 | (3,76,3,00,1,00) | (3,00,3,00,1,13) | (3,00,3,76,1,00) | 1,07
 195 | (4,24,3,00,1,00) | (5,00,3,76,1,00) | (5,00,3,00,1,13) | 1,07
 196 | (5,00,3,76,1,00) | (5,09,4,00,1,00) | (6,00,4,00,1,52) | 1,15
 197 | (6,00,4,00,1,52) | (6,27,3,00,2,00) | (6,00,3,00,1,73) | 1,14
 198 | (3,00,1,00,4,00) | (3,00,1,00,4,24) | (2,91,1,00,4,00) | 0,26
 199 | (3,00,1,00,4,24) | (4,00,1,00,5,00) | (3,76,1,00,5,00) | 1,25
 200 | (4,24,1,00,5,00) | (5,00,1,00,4,00) | (5,00,1,00,4,24) | 1,25
 201 | (5,09,1,00,4,00) | (5,00,1,00,4,24) | (5,00,1,00,4,00) | 0,26
 202 | (2,00,1,73,5,00) | (1,52,2,00,4,00) | (2,00,1,52,4,00) | 1,14
 203 | (2,91,1,00,4,00) | (3,00,1,00,4,24) | (3,00,1,13,5,00) | 1,01
 204 | (3,00,1,00,4,24) | (3,76,1,00,5,00) | (3,00,1,13,5,00) | 1,07
 205 | (5,00,1,00,4,24) | (5,00,1,13,5,00) | (4,24,1,00,5,00) | 1,07
 206 | (5,00,1,00,4,24) | (5,09,1,00,4,00) | (6,00,1,52,4,00) | 1,15
 207 | (6,27,2,00,5,00) | (6,00,1,52,4,00) | (6,48,2,00,4,00) | 1,14
 208 | (1,00,2,91,4,00) | (1,00,3,00,4,24) | (1,00,3,00,4,00) | 0,26
 209 | (1,00,3,00,4,24) | (1,00,2,91,4,00) | (1,52,2,00,4,00) | 1,15
 210 | (7,00,2,91,4,00) | (7,00,3,00,4,24) | (6,87,3,00,5,00) | 1,01
 211 | (7,00,3,00,4,00) | (7,00,3,00,4,24) | (7,00,2,91,4,00) | 0,26
 212 | (1,00,3,76,5,00) | (1,00,3,00,4,00) | (1,00,3,00,4,24) | 1,25
 213 | (1,00,3,00,4,24) | (1,13,3,00,5,00) | (1,00,3,76,5,00) | 1,07
 214 | (7,00,3,00,4,24) | (7,00,3,76,5,00) | (6,87,3,00,5,00) | 1,07
 215 | (7,00,3,00,4,24) | (7,00,4,00,5,00) | (7,00,3,76,5,00) | 1,25
 216 | (4,00,1,00,5,00) | (4,00,1,00,5,09) | (3,76,1,00,5,00) | 0,26
 217 | (4,24,1,00,5,00) | (4,00,1,00,5,09) | (4,00,1,00,5,00) | 0,26
 218 | (2,00,1,73,5,00) | (2,00,2,00,5,43) | (1,73,2,00,5,00) | 0,51
 219 | (2,00,2,00,5,43) | (3,00,1,73,6,00) | (2,57,2,00,6,00) | 1,18
 220 | (3,76,1,00,5,00) | (4,00,1,00,5,09) | (4,00,1,52,6,00) | 1,15
 221 | (4,00,1,00,5,09) | (4,24,1,00,5,00) | (5,00,1,13,5,00) | 1,01
 222 | (5,43,2,00,6,00) | (6,00,1,73,5,00) | (6,00,2,00,5,43) | 1,18
 223 | (6,27,2,00,5,00) | (6,00,2,00,5,43) | (6,00,1,73,5,00) | 0,51
 224 | (2,00,2,57,6,00) | (1,73,2,00,5,00) | (2,00,2,00,5,43) | 1,18
 225 | (2,00,2,00,5,43) | (2,57,2,00,6,00) | (2,00,2,57,6,00) | 0,80
 226 | (6,00,2,00,5,43) | (6,00,2,57,6,00) | (5,43,2,00,6,00) | 0,80
 227 | (6,00,2,00,5,43) | (6,27,3,00,6,00) | (6,00,2,57,6,00) | 1,18
 228 | (1,00,3,76,5,00) | (1,00,4,00,5,09) | (1,00,4,00,5,00) | 0,26
 229 | (1,00,4,00,5,09) | (1,00,3,76,5,00) | (1,13,3,00,5,00) | 1,01
 230 | (7,00,3,76,5,00) | (7,00,4,00,5,09) | (6,48,4,00,6,00) | 1,15
 231 | (7,00,4,00,5,00) | (7,00,4,00,5,09) | (7,00,3,76,5,00) | 0,26
 232 | (3,00,4,00,7,00) | (4,00,4,00,7,00) | (4,00,5,00,7,00) | 1,41
 233 | (4,00,5,00,7,00) | (4,00,4,00,7,00) | (5,00,4,00,7,00) | 1,41
